,Name,FAMACHA,Mean_R,Mean_G,Mean_B,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B
0,180_640x6402023-09-13&1106_3.jpg,1,138.71,114.13,126.38,160.0,123.0,133.0,61.29,51.88,51.72
1,180_640x6402023-09-13&1107_1.jpg,0,125.62,90.62,104.25,142.0,91.0,102.0,47.74,40.57,47.39
2,180_640x6402023-09-13&20_2.jpg,0,134.25,115.57,125.98,139.0,112.0,124.0,36.46,41.17,46.46
3,180_640x6402023-09-13&21_3.jpg,1,149.53,150.01,160.72,165.0,165.0,178.0,52.79,62.27,68.62
4,180_640x6402023-09-13&25_1.jpg,0,157.0,121.03,125.95,174.0,131.0,136.0,55.99,47.3,48.33
5,180_640x6402023-09-13&27_1.jpg,0,137.64,68.79,61.06,159.0,71.0,62.0,60.27,32.78,30.97
6,180_640x6402023-09-13&28_1.jpg,0,127.88,71.45,65.43,142.0,72.0,65.0,50.91,38.57,40.78
7,180_640x6402023-09-13&29_1.jpg,0,143.8,90.02,89.18,149.0,83.0,81.0,71.3,63.79,64.88
8,180_640x6402023-09-13&31_1.jpg,0,131.23,85.9,90.59,148.0,85.0,90.0,49.52,34.38,35.46
9,180_640x6402023-09-13&33_1.jpg,0,166.66,125.38,132.86,178.0,126.0,133.0,51.55,48.33,50.23
10,180_640x6402023-09-13&36_2.jpg,0,141.91,107.12,117.58,156.0,110.0,121.0,63.28,45.76,46.77
11,180_640x6402023-09-13&947_3.jpg,1,170.12,134.75,129.15,183.0,129.0,122.0,47.38,51.65,54.85
12,180_640x6402023-09-13&970_1.jpg,0,185.23,176.71,180.77,203.0,185.0,192.0,61.64,60.46,62.05
13,180_640x6402023-09-13&997_1.jpg,0,189.55,140.18,133.67,208.0,140.0,132.0,64.99,62.53,66.79
14,180_640x640img100_3.jpg,1,170.44,119.84,128.64,178.0,118.0,128.0,42.61,34.03,34.6
15,180_640x640img101_3.jpg,1,181.19,128.38,149.87,190.0,125.0,149.0,47.12,41.8,42.43
16,180_640x640img102_4.jpg,1,174.34,149.1,166.31,193.0,156.0,176.0,55.87,48.17,54.94
17,180_640x640img103_3.jpg,1,150.09,105.2,102.78,162.0,107.0,104.0,42.47,27.39,25.4
18,180_640x640img104_3.jpg,1,171.52,101.26,114.88,185.0,97.0,111.0,49.31,36.74,38.55
19,180_640x640img105_3.jpg,1,157.97,87.47,86.03,165.0,88.0,87.0,41.42,32.08,32.37
20,180_640x640img106_3.jpg,1,174.63,135.5,148.12,186.0,139.0,150.0,52.46,40.13,43.78
21,180_640x640img107_3.jpg,1,226.85,192.12,208.72,246.0,199.0,221.0,53.26,52.01,50.84
22,180_640x640img108_2.jpg,0,214.08,165.59,182.88,223.0,168.0,186.0,41.86,42.3,41.59
23,180_640x640img109_2.jpg,0,158.22,108.18,117.8,170.0,105.0,114.0,57.85,43.05,43.84
24,180_640x640img10_2.jpg,0,189.34,124.41,112.47,202.0,116.0,102.0,48.11,45.19,45.98
25,180_640x640img110_3.jpg,1,228.86,184.75,185.14,242.0,188.0,189.0,43.3,44.35,43.47
26,180_640x640img111_2.jpg,0,154.3,109.51,110.66,166.0,109.0,110.0,40.11,34.0,35.18
27,180_640x640img112_2.jpg,0,179.32,123.0,129.05,190.0,121.0,126.0,56.49,41.64,40.91
28,180_640x640img113_4.jpg,1,204.24,163.93,165.89,223.0,173.0,174.0,58.25,44.96,43.38
29,180_640x640img114_3.jpg,1,205.79,146.31,144.76,224.0,154.0,151.0,54.41,40.67,39.69
30,180_640x640img115_3.jpg,1,153.84,81.08,92.05,166.0,81.0,94.0,45.27,32.15,33.03
31,180_640x640img116_3.jpg,1,200.66,128.24,135.15,212.0,127.0,135.0,49.84,34.99,36.43
32,180_640x640img117_3.jpg,1,182.46,118.64,134.77,193.0,119.0,137.0,50.15,44.75,48.35
33,180_640x640img118_3.jpg,1,191.01,122.14,131.04,205.0,121.0,130.0,48.2,38.54,41.01
34,180_640x640img119_3.jpg,1,189.89,127.96,140.31,211.0,133.0,145.0,65.3,49.16,52.54
35,180_640x640img11_4.jpg,1,180.26,153.82,161.73,194.0,163.0,172.0,52.39,45.2,52.17
36,180_640x640img120_3.jpg,1,200.19,135.95,140.71,218.0,138.0,143.0,58.3,43.67,45.3
37,180_640x640img121_2.jpg,0,165.03,82.11,84.64,180.0,83.0,86.0,50.86,35.04,34.91
38,180_640x640img122_2.jpg,0,140.35,68.17,68.58,151.0,68.0,69.0,68.34,43.65,44.79
39,180_640x640img123_2.jpg,0,178.97,95.55,96.62,198.0,98.0,99.0,58.35,30.44,29.54
40,180_640x640img124_3.jpg,1,225.33,150.43,159.87,245.0,153.0,162.0,54.68,40.87,42.23
41,180_640x640img125_3.jpg,1,200.07,133.4,137.68,210.0,126.0,130.0,49.31,44.57,47.05
42,180_640x640img127_2.jpg,0,234.85,198.5,207.16,247.0,205.0,213.0,43.75,42.89,39.29
43,180_640x640img128_2.jpg,0,149.29,87.11,97.55,158.0,88.0,99.0,42.88,34.64,33.99
44,180_640x640img129_1.jpg,0,148.65,94.73,110.85,174.0,94.0,111.0,77.55,57.21,57.46
45,180_640x640img12_2.jpg,0,185.62,127.59,123.85,205.0,129.0,125.0,58.7,47.28,48.7
46,180_640x640img130_2.jpg,0,129.77,91.98,104.77,150.0,87.0,101.0,67.93,57.75,57.64
47,180_640x640img131_2.jpg,0,189.29,160.61,170.03,220.0,190.0,200.0,73.71,76.51,75.38
48,180_640x640img133_2.jpg,0,183.42,114.05,131.82,200.0,118.0,136.0,55.15,46.4,47.43
49,180_640x640img134_1.jpg,0,155.43,88.45,98.2,165.0,80.0,92.0,44.67,42.21,40.11
50,180_640x640img135_3.jpg,1,78.45,76.34,83.76,109.0,100.0,103.0,70.31,52.93,47.51
51,180_640x640img136_3.jpg,1,207.79,159.9,165.46,225.0,171.0,174.0,58.65,50.71,47.81
52,180_640x640img138_4.jpg,1,220.19,183.29,181.83,241.0,185.0,184.0,58.15,52.65,50.32
53,180_640x640img139_3.jpg,1,174.51,139.01,140.25,190.0,141.0,143.0,54.6,49.08,46.39
54,180_640x640img13_3.jpg,1,206.19,171.55,175.7,225.0,183.0,186.0,61.28,49.37,50.32
55,180_640x640img140_3.jpg,1,190.76,143.21,145.8,210.0,151.0,151.0,58.22,47.4,46.02
56,180_640x640img141_2.jpg,0,162.01,108.88,110.13,171.0,109.0,112.0,64.0,66.68,65.24
57,180_640x640img142_2.jpg,0,192.85,148.68,145.61,210.0,149.0,146.0,61.21,58.72,55.13
