Name,FAMACHA,Mean_R,Mean_G,Mean_B,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B
180_640x640img159_3.jpg,1,110.62,92.23,90.11,98.0,81.0,77.0,63.88,50.82,50.41
180_640x640img105_3.jpg,1,130.43,75.34,73.24,150.0,78.0,77.0,57.01,38.48,39.75
180_640x640img77_3.jpg,1,188.03,150.58,151.75,220.0,157.0,159.0,70.43,67.56,67.7
90_640x640img190_3.jpg,1,131.66,96.82,84.27,122.0,90.0,75.0,71.89,54.66,50.96
270_640x640img84_4.jpg,1,149.37,122.16,119.31,161.0,123.0,116.0,77.28,63.78,62.64
180_640x640img47_3.jpg,1,197.58,151.32,145.31,221.0,162.0,156.0,58.06,55.17,56.5
270_640x640img150_2.jpg,0,139.03,99.73,98.14,147.0,98.0,98.0,69.74,52.75,51.9
270_640x640img19_3.jpg,1,125.6,112.71,111.52,118.0,105.0,103.0,70.07,64.02,64.9
180_640x640img32_3.jpg,1,160.21,114.41,118.81,177.0,123.0,127.0,67.21,50.83,51.48
180_640x640img43_2.jpg,0,137.12,87.62,91.2,158.0,83.0,84.0,75.73,55.73,57.11
180_640x640img216_3.jpg,1,175.05,130.99,129.16,210.0,138.0,138.0,72.79,63.91,65.67
180_640x640img176_3.jpg,1,146.85,107.97,101.38,151.0,107.0,97.0,78.13,60.03,59.21
180_640x640img21_4.jpg,1,123.07,108.98,108.66,115.0,110.0,111.0,67.02,60.03,62.06
90_640x640img241_1.jpg,0,153.93,120.64,129.92,153.0,105.0,118.0,62.12,61.05,59.8
270_640x640img51_3.jpg,1,183.87,118.78,126.45,202.0,117.0,126.0,56.62,54.07,56.39
90_640x640img43_2.jpg,0,137.27,87.59,91.18,158.0,83.0,84.0,75.61,55.72,57.09
180_640x640img117_3.jpg,1,155.79,102.93,116.72,172.0,105.0,121.0,63.27,49.25,53.91
180_640x640img175_3.jpg,1,125.92,100.9,98.39,111.0,91.0,90.0,56.15,41.0,39.15
270_640x640img285_3.jpg,1,112.17,86.07,105.0,114.0,89.0,112.0,49.83,42.5,47.45
180_640x640img190_3.jpg,1,131.5,96.81,84.26,122.0,90.0,75.0,72.02,54.68,50.96
270_640x640img72_2.jpg,0,131.54,96.49,93.61,132.0,88.0,81.0,77.35,59.73,60.38
90_640x640img10_2.jpg,0,150.97,107.2,97.76,164.0,100.0,88.0,63.32,46.53,45.97
180_640x6402023-09-13&26_3.jpg,1,124.22,108.98,103.97,124.0,105.0,98.0,50.2,51.54,54.13
180_640x640img94_2.jpg,0,163.57,120.98,129.63,171.0,124.0,133.0,58.36,50.62,51.04
270_640x640img160_4.jpg,1,135.41,123.53,124.34,151.0,126.0,127.0,69.65,62.85,59.03
90_640x640img128_2.jpg,0,118.82,70.19,77.94,135.0,68.0,76.0,57.44,40.0,41.0
270_640x640img162_4.jpg,1,86.49,72.7,71.44,67.0,56.0,57.0,59.68,47.12,44.2
180_640x640img37_4.jpg,1,171.97,136.09,133.78,199.0,142.0,140.0,76.87,64.54,65.47
270_640x640img262_3.jpg,1,172.92,129.98,150.19,194.0,131.0,154.0,47.78,50.45,53.48
180_640x640img199_3.jpg,1,117.18,81.32,78.82,104.0,62.0,56.0,71.65,64.95,65.93
180_640x640img256_2.jpg,0,187.53,154.05,175.7,207.0,162.0,188.0,45.66,48.23,50.93
270_640x640img121_2.jpg,0,106.47,60.68,62.04,99.0,57.0,58.0,70.48,43.52,44.41
180_640x640img193_3.jpg,1,125.97,98.02,80.41,130.0,94.0,74.0,62.17,50.06,46.46
180_640x640img183_2.jpg,0,163.86,138.81,128.57,179.0,138.0,124.0,73.62,67.79,64.13
180_640x640img48_4.jpg,1,182.05,153.21,157.15,211.0,168.0,172.0,67.3,57.95,59.63
270_640x640img30_4.jpg,1,184.39,146.49,153.28,206.0,158.0,166.0,58.76,52.91,55.58
270_640x640img105_3.jpg,1,130.53,75.32,73.18,150.0,78.0,77.0,56.87,38.49,39.77
270_640x6402023-09-13&37_1.jpg,0,105.88,101.94,102.21,99.0,93.0,89.0,62.63,60.6,62.89
180_640x640img87_3.jpg,1,104.78,81.5,80.81,75.0,66.0,64.0,66.04,45.26,43.19
90_640x640img55_2.jpg,0,190.46,122.17,123.08,208.0,121.0,122.0,54.01,49.42,51.84
270_640x640img211_3.jpg,1,101.73,90.84,93.66,88.0,82.0,84.0,64.96,53.98,54.12
270_640x640img15_4.jpg,1,141.65,126.81,118.63,126.0,107.0,96.0,73.6,68.45,67.7
270_640x6402023-09-13&32_1.jpg,0,120.93,101.44,97.89,125.0,106.0,101.0,54.13,52.85,53.94
270_640x640img200_2.jpg,0,162.8,112.18,104.64,177.0,114.0,100.0,79.43,59.28,56.12
270_640x640img50_4.jpg,1,167.83,148.96,157.83,190.0,158.0,168.0,63.81,60.64,63.72
90_640x640img249_3.jpg,1,68.78,59.71,63.13,57.0,49.0,50.0,51.77,43.74,46.14
180_640x640img13_3.jpg,1,124.62,104.12,106.49,108.0,94.0,94.0,73.16,60.31,61.93
180_640x640img114_3.jpg,1,164.99,118.42,116.33,172.0,117.0,114.0,64.67,47.72,48.08
180_640x640img10_2.jpg,0,150.97,107.15,97.74,164.0,100.0,88.0,63.39,46.61,46.02
180_640x640img230_2.jpg,0,187.5,137.81,140.17,211.0,138.0,140.0,58.51,55.98,57.08
270_640x640img253_2.jpg,0,185.41,141.62,166.6,195.0,146.0,172.0,43.56,57.42,55.73
270_640x640img294_2.jpg,0,137.41,89.75,93.29,142.0,82.0,88.0,46.74,48.42,47.95
270_640x640img217_3.jpg,1,122.53,99.43,97.12,130.0,93.0,87.0,56.33,49.3,54.07
270_640x640img183_2.jpg,0,163.98,138.79,128.59,179.0,138.0,124.0,73.48,67.76,64.08
90_640x640img179_3.jpg,1,135.83,112.17,109.41,127.0,107.0,100.0,71.0,54.97,55.85
180_640x640img182_2.jpg,0,94.12,59.37,57.1,89.0,56.0,55.0,44.06,31.02,30.15
90_640x640img268_3.jpg,1,122.91,102.37,125.72,118.0,104.0,128.0,56.91,52.18,58.67
90_640x640img246_2.jpg,0,149.51,129.02,142.47,142.0,139.0,156.0,67.9,65.59,69.47
270_640x640img43_2.jpg,0,137.31,87.59,91.17,158.0,82.0,84.0,75.6,55.73,57.09
180_640x640img181_2.jpg,0,157.57,110.78,103.72,166.0,108.0,99.0,71.74,54.22,54.24
180_640x640img17_4.jpg,1,122.0,89.83,86.97,95.0,76.0,72.0,77.18,54.6,54.39
90_640x640img264_2.jpg,0,187.15,156.76,176.86,209.0,157.0,181.0,49.54,52.29,53.43
180_640x640img293_3.jpg,1,53.44,32.76,38.86,54.0,29.0,35.0,26.34,19.04,19.46
270_640x640img273_2.jpg,0,150.29,106.13,132.48,163.0,104.0,135.0,46.08,44.01,47.23
90_640x640img283_2.jpg,0,153.84,110.21,124.46,161.0,108.0,124.0,55.92,51.06,53.72
270_640x640img63_2.jpg,0,133.6,79.64,84.2,154.0,78.0,84.0,56.62,30.71,30.14
270_640x6402023-09-13&997_1.jpg,0,133.73,107.18,103.6,117.0,94.0,87.0,71.94,65.42,67.36
270_640x640img8_5.jpg,1,144.55,136.37,133.66,164.0,151.0,145.0,63.58,64.06,65.04
90_640x640img129_1.jpg,0,135.32,88.26,102.73,137.0,83.0,98.0,74.6,53.9,54.95
270_640x640img204_3.jpg,1,165.49,137.99,135.98,195.0,143.0,136.0,73.59,67.76,65.88
90_640x640img198_3.jpg,1,143.14,121.69,110.69,150.0,124.0,109.0,65.74,54.14,52.69
270_640x640img192_4.jpg,1,184.01,145.18,132.5,220.0,167.0,149.0,75.55,65.41,59.26
180_640x640img3_1.jpg,0,134.22,82.95,70.82,159.0,85.0,72.0,79.5,48.62,41.48
90_640x640img214_3.jpg,1,116.8,88.92,77.74,119.0,85.0,71.0,58.47,40.86,36.74
180_640x640img196_2.jpg,0,119.87,90.89,89.14,124.0,87.0,79.0,64.72,53.66,57.14
180_640x640img155_3.jpg,1,172.58,121.34,121.65,205.0,124.0,125.0,72.78,57.84,57.11
270_640x640img195_1.jpg,0,180.49,130.99,114.18,205.0,128.0,102.0,64.08,58.31,56.13
180_640x6402023-09-13&36_2.jpg,0,110.32,98.28,96.88,110.0,99.0,96.0,58.12,58.37,57.88
270_640x640img187_4.jpg,1,164.11,127.0,119.49,189.0,137.0,127.0,73.31,63.62,65.85
270_640x640img230_2.jpg,0,187.65,137.71,140.09,211.0,137.0,140.0,58.2,56.01,57.06
270_640x640img87_3.jpg,1,104.8,81.53,80.86,75.0,66.0,64.0,66.0,45.22,43.13
270_640x640img226_1.jpg,0,119.98,82.31,97.19,118.0,74.0,91.0,57.76,49.7,55.38
180_640x640img195_1.jpg,0,180.32,131.04,114.24,205.0,128.0,102.0,64.34,58.28,56.1
180_640x640img76_4.jpg,1,139.09,126.04,121.47,126.0,115.0,111.0,74.49,70.17,69.94
90_640x640img63_2.jpg,0,133.54,79.61,84.22,154.0,78.0,84.0,56.69,30.72,30.16
270_640x640img75_4.jpg,1,142.89,121.38,116.57,141.0,118.0,113.0,70.96,65.12,64.52
270_640x640img155_3.jpg,1,172.71,121.27,121.55,205.0,124.0,125.0,72.59,57.83,57.12
180_640x6402023-09-13&29_1.jpg,0,76.04,74.51,74.11,50.0,53.0,55.0,68.28,62.97,61.6
90_640x640img17_4.jpg,1,122.06,89.78,86.95,95.0,76.0,72.0,77.09,54.57,54.36
270_640x640img76_4.jpg,1,139.25,126.04,121.38,126.0,115.0,111.0,74.33,70.12,69.94
180_640x640img140_3.jpg,1,152.17,129.52,129.16,159.0,129.0,128.0,60.83,48.32,45.5
180_640x640img88_5.jpg,1,166.24,144.03,144.2,185.0,163.0,165.0,64.49,63.4,66.19
