Name,FAMACHA,Mean_R,Mean_G,Mean_B,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B
2023-09-13&1107_1.jpg,0,130.92,91.65,104.73,142.0,90.0,101.0,37.17,36.37,43.44
2023-09-13&20_2.jpg,0,137.79,117.67,128.99,139.0,112.0,123.0,26.31,36.73,40.7
2023-09-13&24_2.jpg,0,151.24,118.15,127.83,152.0,110.0,122.0,53.35,60.41,60.35
2023-09-13&29_1.jpg,0,166.94,101.71,98.87,174.0,101.0,99.0,50.4,60.92,63.36
2023-09-13&33_1.jpg,0,172.71,128.72,135.93,178.0,126.0,134.0,37.13,43.92,46.29
2023-09-13&695_3.jpg,1,159.38,120.4,111.16,162.0,121.0,109.0,18.64,21.47,24.05
2023-09-13&75_2.jpg,0,166.83,133.15,143.3,172.0,128.0,139.0,39.29,41.6,41.97
2023-09-13&947_3.jpg,1,176.85,138.53,132.2,185.0,131.0,124.0,32.51,46.21,50.98
2023-09-13&997_1.jpg,0,207.2,150.64,145.94,206.0,150.0,145.0,28.73,49.32,54.46
img100_3.jpg,1,174.89,120.82,128.74,178.0,118.0,128.0,30.07,30.53,32.53
img101_3.jpg,1,173.02,122.9,144.83,181.0,119.0,142.0,41.96,38.72,38.17
img102_4.jpg,1,183.5,153.13,172.8,196.0,158.0,178.0,40.9,41.77,44.71
img104_3.JPG,1,182.57,107.11,120.47,188.0,100.0,114.0,30.18,30.91,32.88
img105_3.JPG,1,174.62,98.91,97.7,177.0,96.0,96.0,20.72,23.6,23.46
img106_3.jpg,1,192.6,148.85,161.48,197.0,148.0,161.0,31.9,32.89,36.66
img107_3.jpg,1,238.86,204.95,220.43,248.0,205.0,229.0,24.89,39.93,35.12
img108_2.jpg,0,217.17,166.99,184.08,223.0,167.0,186.0,28.01,37.57,36.12
img109_2.jpg,0,162.04,108.87,117.08,170.0,105.0,113.0,45.14,39.55,40.99
img10_2.jpg,0,203.03,131.82,119.7,207.0,123.0,110.0,26.19,40.76,42.48
img110_3.jpg,1,234.62,187.19,186.93,243.0,188.0,189.0,24.67,38.63,39.48
img111_2.jpg,0,155.68,109.36,110.05,165.0,108.0,108.0,33.57,31.83,33.8
img113_4.jpg,1,210.97,163.58,162.62,222.0,172.0,173.0,38.09,39.28,42.22
img114_3.jpg,1,213.84,149.54,147.21,227.0,155.0,152.0,37.94,35.95,36.56
img115_3.JPG,1,158.5,83.27,94.0,166.0,82.0,94.0,35.08,29.82,30.93
img116_3.JPG,1,207.82,131.83,138.2,215.0,129.0,136.0,35.18,29.2,31.81
img117_3.JPG,1,186.44,122.12,138.2,194.0,121.0,139.0,40.65,40.86,44.46
