Name,FAMACHA,Mean_R,Mean_G,Mean_B,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B
180_640x6402023-09-13&20_2.jpg,0,140.32,119.76,131.44,140.0,114.0,126.0,23.43,35.5,39.42
180_640x6402023-09-13&33_1.jpg,0,173.6,129.6,136.91,179.0,127.0,134.0,36.4,43.58,45.75
180_640x6402023-09-13&695_3.jpg,1,160.31,121.14,111.73,162.0,121.0,109.0,17.38,20.08,22.88
180_640x6402023-09-13&947_3.jpg,1,175.69,134.38,127.56,184.0,127.0,119.0,33.72,44.2,48.56
180_640x6402023-09-13&997_1.jpg,0,216.74,162.74,157.34,227.0,168.0,162.0,32.55,52.2,57.85
180_640x640img100_3.jpg,1,177.79,123.35,131.7,180.0,120.0,129.0,27.65,29.09,30.42
180_640x640img101_3.jpg,1,166.74,118.81,140.35,177.0,116.0,139.0,46.63,40.71,40.73
180_640x640img102_4.jpg,1,159.53,134.26,152.38,182.0,145.0,166.0,57.53,52.41,56.65
180_640x640img103_3.jpg,1,152.91,106.04,103.01,161.0,107.0,103.0,32.15,23.28,22.27
180_640x640img104_3.jpg,1,179.38,104.27,117.3,187.0,98.0,111.0,35.37,33.32,35.38
180_640x640img105_3.jpg,1,171.34,96.16,94.61,174.0,93.0,93.0,23.82,24.97,25.23
180_640x640img106_3.jpg,1,182.34,140.03,153.18,189.0,141.0,153.0,38.04,34.63,37.54
180_640x640img107_3.jpg,1,212.8,181.32,197.12,241.0,190.0,213.0,53.93,56.5,53.53
180_640x640img108_2.jpg,0,216.97,166.79,183.97,223.0,167.0,186.0,28.32,37.84,36.35
180_640x640img109_2.jpg,0,178.49,117.92,127.07,181.0,111.0,119.0,34.82,36.08,37.7
180_640x640img10_2.jpg,0,198.43,128.23,116.32,206.0,119.0,106.0,33.51,42.58,43.93
180_640x640img110_3.jpg,1,233.4,186.87,186.51,242.0,188.0,189.0,25.65,38.58,39.36
180_640x640img111_2.jpg,0,153.73,108.54,109.26,164.0,107.0,107.0,36.53,32.55,34.4
180_640x640img112_2.jpg,0,201.53,136.44,141.6,200.0,131.0,136.0,30.24,33.69,34.8
180_640x640img113_4.jpg,1,222.1,173.87,174.06,229.0,178.0,178.0,27.14,30.65,32.65
180_640x640img114_3.jpg,1,222.43,156.32,153.89,229.0,157.0,155.0,26.19,29.12,29.89
180_640x640img115_3.jpg,1,160.58,84.65,95.56,168.0,83.0,95.0,34.24,30.24,31.04
180_640x640img116_3.jpg,1,206.79,130.82,137.14,214.0,128.0,135.0,35.29,30.12,32.69
180_640x640img117_3.jpg,1,186.35,121.62,137.54,193.0,120.0,138.0,40.53,41.72,45.39
180_640x640img118_3.jpg,1,198.95,126.45,134.96,207.0,123.0,132.0,33.33,33.27,36.51
180_640x640img119_3.jpg,1,207.33,138.83,151.49,217.0,138.0,151.0,41.33,38.66,42.04
180_640x640img120_3.jpg,1,212.11,142.72,147.12,223.0,142.0,147.0,40.2,37.32,40.24
180_640x640img121_2.jpg,0,175.3,85.24,86.89,183.0,85.0,87.0,35.15,32.53,33.08
180_640x640img122_2.jpg,0,171.98,83.43,83.53,181.0,81.0,82.0,44.6,39.04,40.53
180_640x640img123_2.jpg,0,196.81,101.73,101.73,206.0,101.0,101.0,35.59,23.67,24.23
180_640x640img124_3.jpg,1,239.5,158.21,167.31,246.0,157.0,166.0,20.55,30.07,32.43
180_640x640img125_3.jpg,1,204.82,135.24,139.11,211.0,127.0,130.0,36.46,41.19,44.35
180_640x640img127_2.jpg,0,237.4,198.42,206.21,247.0,204.0,213.0,29.32,39.27,37.36
180_640x640img128_2.jpg,0,151.78,87.82,96.88,160.0,89.0,99.0,40.55,36.76,37.16
180_640x640img12_2.jpg,0,198.33,135.76,132.04,210.0,133.0,130.0,38.45,39.02,41.29
180_640x640img130_2.jpg,0,171.86,119.08,132.33,177.0,113.0,127.0,36.69,46.06,44.92
180_640x640img131_2.jpg,0,197.49,162.09,170.68,222.0,190.0,200.0,60.45,75.6,74.38
180_640x640img133_2.jpg,0,190.79,119.4,137.0,202.0,123.0,140.0,43.93,42.62,42.82
180_640x640img134_1.jpg,0,159.24,89.6,98.88,166.0,80.0,93.0,36.98,41.04,39.11
180_640x640img136_3.jpg,1,211.05,162.28,164.13,220.0,167.0,167.0,32.8,40.12,40.09
180_640x640img138_4.jpg,1,230.95,190.68,188.04,242.0,190.0,188.0,30.5,41.15,40.52
180_640x640img13_3.jpg,1,217.41,178.3,181.85,227.0,184.0,187.0,35.82,35.17,37.74
180_640x640img140_3.jpg,1,206.37,158.71,154.55,212.0,161.0,150.0,30.33,38.66,38.46
180_640x640img141_2.jpg,0,172.58,112.72,112.64,179.0,115.0,115.0,50.87,63.53,62.75
180_640x640img142_2.jpg,0,197.88,137.94,134.98,205.0,137.0,134.0,37.51,47.19,43.98
180_640x640img143_4.jpg,1,215.41,158.14,159.96,222.0,159.0,160.0,27.34,35.36,36.26
180_640x640img144_2.jpg,0,214.18,157.26,155.87,220.0,160.0,159.0,33.27,39.39,40.26
180_640x640img145_2.jpg,0,195.37,136.07,135.13,204.0,140.0,139.0,39.45,53.09,51.54
180_640x640img146_2.jpg,0,225.0,158.06,159.83,232.0,158.0,160.0,28.81,40.63,40.43
180_640x640img147_2.jpg,0,126.95,76.64,91.39,123.0,62.0,77.0,29.94,47.09,51.12
180_640x640img148_4.jpg,1,198.97,149.45,147.34,206.0,150.0,148.0,28.02,31.06,32.2
180_640x640img149_2.jpg,0,197.53,129.84,127.22,206.0,131.0,131.0,29.97,40.43,39.52
180_640x640img14_4.jpg,1,200.84,162.52,151.99,207.0,165.0,156.0,26.37,33.92,34.36
180_640x640img150_2.jpg,0,200.09,124.67,124.2,207.0,125.0,126.0,31.28,49.96,46.99
180_640x640img151_2.jpg,0,217.6,148.72,147.88,225.0,154.0,152.0,31.01,50.05,47.94
180_640x640img152_3.jpg,1,227.29,171.14,170.05,236.0,174.0,172.0,25.2,31.14,30.17
180_640x640img153_3.jpg,1,206.06,144.34,145.52,215.0,159.0,157.0,33.4,55.23,54.27
180_640x640img154_3.jpg,1,204.84,147.31,144.95,214.0,156.0,152.0,35.15,50.68,49.99
180_640x640img155_3.jpg,1,220.7,151.57,152.27,233.0,160.0,161.0,33.2,46.22,45.54
180_640x640img156_3.jpg,1,198.26,138.65,136.41,206.0,141.0,137.0,31.43,36.84,38.81
180_640x640img157_3.jpg,1,173.42,99.04,99.78,181.0,105.0,107.0,32.89,37.64,37.18
180_640x640img15_4.jpg,1,209.56,185.86,175.34,222.0,196.0,185.0,38.41,45.02,48.43
180_640x640img160_4.jpg,1,189.22,157.93,160.03,195.0,158.0,158.0,31.84,45.72,46.7
180_640x640img161_4.jpg,1,221.82,175.76,168.11,228.0,182.0,174.0,23.28,35.49,34.02
180_640x640img164_4.jpg,1,158.8,114.56,131.37,167.0,124.0,141.0,41.74,35.13,38.46
180_640x640img165_3.jpg,1,161.17,114.03,129.74,169.0,114.0,133.0,44.24,55.35,56.75
180_640x640img166_3.jpg,1,178.35,137.81,131.99,192.0,138.0,134.0,35.86,37.74,37.22
180_640x640img167_4.jpg,1,214.78,180.61,183.12,222.0,183.0,187.0,28.86,27.49,28.11
180_640x640img16_2.jpg,0,188.16,109.01,114.44,198.0,100.0,106.0,41.51,36.72,39.44
180_640x640img172_4.jpg,1,206.71,160.59,159.19,215.0,169.0,167.0,33.29,39.85,39.69
180_640x640img173_4.jpg,1,219.91,177.45,176.89,231.0,181.0,181.0,34.55,53.87,53.16
180_640x640img174_4.jpg,1,200.81,178.49,184.32,206.0,188.0,196.0,40.55,42.22,45.02
180_640x640img176_3.jpg,1,213.73,152.48,144.43,235.0,163.0,156.0,42.9,43.57,45.99
180_640x640img177_3.jpg,1,206.32,143.97,147.64,222.0,148.0,155.0,45.06,55.67,56.04
180_640x640img178_2.jpg,0,165.84,91.8,93.58,177.0,86.0,88.0,41.3,36.56,39.72
180_640x640img179_3.jpg,1,208.51,160.73,157.86,214.0,165.0,163.0,31.74,34.58,37.66
180_640x640img17_4.jpg,1,221.97,155.15,149.74,232.0,157.0,150.0,30.96,32.79,34.78
180_640x640img181_2.jpg,0,218.88,148.85,143.3,223.0,147.0,142.0,27.1,37.38,40.72
180_640x640img182_2.jpg,0,131.46,64.61,64.4,134.0,63.0,62.0,28.14,18.76,19.53
180_640x640img183_2.jpg,0,234.87,194.47,183.99,243.0,203.0,191.0,24.42,40.4,41.09
180_640x640img184_2.jpg,0,215.81,130.65,121.51,224.0,129.0,119.0,30.65,46.73,49.75
180_640x640img186_2.jpg,0,170.89,125.21,124.24,201.0,127.0,125.0,66.55,60.55,62.18
180_640x640img187_4.jpg,1,221.05,172.6,166.58,225.0,179.0,174.0,26.92,34.55,38.6
180_640x640img189_3.jpg,1,231.69,174.97,178.86,243.0,181.0,187.0,33.6,45.61,46.77
180_640x640img18_2.jpg,0,217.37,159.29,150.84,230.0,164.0,154.0,36.35,42.06,43.02
180_640x640img190_3.jpg,1,221.7,154.51,142.32,229.0,159.0,145.0,28.31,34.45,36.62
180_640x640img192_4.jpg,1,244.88,187.06,175.36,253.0,191.0,178.0,25.87,36.23,35.85
180_640x640img193_3.jpg,1,199.37,140.11,130.15,203.0,140.0,131.0,20.8,27.06,27.41
180_640x640img195_1.jpg,0,221.16,138.39,124.72,228.0,132.0,121.0,24.67,50.61,45.8
180_640x640img196_2.jpg,0,178.2,134.99,135.06,184.0,140.0,138.0,23.39,33.38,38.52
180_640x640img19_3.jpg,1,190.96,163.53,160.96,199.0,170.0,168.0,34.29,44.96,48.12
180_640x640img1_4.jpg,1,210.79,170.33,157.15,217.0,172.0,158.0,28.93,34.11,38.67
180_640x640img200_2.jpg,0,227.61,149.82,140.42,240.0,155.0,145.0,34.37,41.93,43.04
180_640x640img201_3.jpg,1,220.43,139.35,126.09,231.0,142.0,127.0,31.84,32.35,29.93
180_640x640img202_3.jpg,1,169.99,105.47,112.08,176.0,97.0,104.0,38.15,38.82,41.26
180_640x640img203_3.jpg,1,198.13,135.76,130.32,206.0,138.0,132.0,33.81,37.92,41.72
180_640x640img204_3.jpg,1,221.18,181.75,179.93,230.0,198.0,196.0,26.28,46.77,46.52
180_640x640img205_3.jpg,1,197.1,149.65,145.77,205.0,145.0,143.0,36.75,56.86,60.09
180_640x640img206_3.jpg,1,186.76,153.81,158.83,197.0,153.0,157.0,30.91,29.4,34.44
