Name,FAMACHA,Mean_R,Mean_G,Mean_B,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B
180_640x6402023-09-13&1106_3.jpg,1,138.71,114.13,126.38,160.0,123.0,133.0,61.29,51.88,51.72
180_640x6402023-09-13&1107_1.jpg,0,125.62,90.62,104.25,142.0,91.0,102.0,47.74,40.57,47.39
180_640x6402023-09-13&20_2.jpg,0,134.25,115.57,125.98,139.0,112.0,124.0,36.46,41.17,46.46
180_640x6402023-09-13&21_3.jpg,1,149.53,150.01,160.72,165.0,165.0,178.0,52.79,62.27,68.62
180_640x6402023-09-13&25_1.jpg,0,157.0,121.03,125.95,174.0,131.0,136.0,55.99,47.3,48.33
180_640x6402023-09-13&27_1.jpg,0,137.64,68.79,61.06,159.0,71.0,62.0,60.27,32.78,30.97
180_640x6402023-09-13&28_1.jpg,0,127.88,71.45,65.43,142.0,72.0,65.0,50.91,38.57,40.78
180_640x6402023-09-13&29_1.jpg,0,143.8,90.02,89.18,149.0,83.0,81.0,71.3,63.79,64.88
180_640x6402023-09-13&31_1.jpg,0,131.23,85.9,90.59,148.0,85.0,90.0,49.52,34.38,35.46
180_640x6402023-09-13&33_1.jpg,0,166.66,125.38,132.86,178.0,126.0,133.0,51.55,48.33,50.23
180_640x6402023-09-13&36_2.jpg,0,141.91,107.12,117.58,156.0,110.0,121.0,63.28,45.76,46.77
180_640x6402023-09-13&947_3.jpg,1,170.12,134.75,129.15,183.0,129.0,122.0,47.38,51.65,54.85
180_640x6402023-09-13&970_1.jpg,0,185.23,176.71,180.77,203.0,185.0,192.0,61.64,60.46,62.05
180_640x6402023-09-13&997_1.jpg,0,189.55,140.18,133.67,208.0,140.0,132.0,64.99,62.53,66.79
180_640x640img100_3.jpg,1,170.44,119.84,128.64,178.0,118.0,128.0,42.61,34.03,34.6
180_640x640img101_3.jpg,1,181.19,128.38,149.87,190.0,125.0,149.0,47.12,41.8,42.43
180_640x640img102_4.jpg,1,174.34,149.1,166.31,193.0,156.0,176.0,55.87,48.17,54.94
180_640x640img103_3.jpg,1,150.09,105.2,102.78,162.0,107.0,104.0,42.47,27.39,25.4
