Modelo,Versão,Accuracy,Precision,Recall,F1,Kappa,Total
XGBoost,0.1,88.46,87.76,93.48,90.53,75.81,436.04
XGBoost,0.2,86.54,87.5,90.32,88.89,71.83,425.08
GBM,0.1,82.05,80.77,91.3,85.71,61.82,401.65
GBM,0.3,81.62,82.39,89.73,85.9,59.66,399.29999999999995
XGBoost,0.3,81.62,86.52,83.56,85.02,61.28,398.0
RF,0.3,81.2,84.0,86.3,85.14,59.57,396.21
GBM,0.2,80.77,80.58,89.25,84.69,59.01,394.29999999999995
KNN,0.1,80.77,84.44,82.61,83.52,60.45,391.78999999999996
RF,0.2,80.13,81.0,87.1,83.94,57.98,390.15
KNN,0.2,80.13,82.98,83.87,83.42,58.62,389.02000000000004
RF,0.1,78.21,79.59,84.78,82.11,54.31,379.0
KNN,0.3,77.35,82.52,80.82,81.66,52.06,374.41
SVM,0.3,76.92,77.38,89.04,82.8,48.26,374.40000000000003
SVM,0.1,74.36,74.07,86.96,80.0,44.92,360.31
MLP,0.3,73.5,72.11,93.84,81.55,37.31,358.31
MLP,0.1,73.08,70.49,93.48,80.37,40.09,357.51
SVM,0.2,73.72,74.07,86.02,79.6,43.24,356.65
MLP,0.2,73.08,76.84,78.49,77.66,43.8,349.87000000000006
