Modelo,Versão,Accuracy,Precision,Recall,F1,Kappa,Total
KNN,0.1,83.33,83.33,88.24,85.71,65.75,406.35999999999996
SVM,0.1,80.0,78.95,88.24,83.33,58.53,389.04999999999995
XGBoost,0.1,76.67,81.25,76.47,78.79,52.91,366.09000000000003
GBM,0.1,76.67,81.25,76.47,78.79,52.91,366.09000000000003
RF,0.1,76.67,85.71,70.59,77.42,53.74,364.13
MLP,0.1,73.33,76.47,76.47,76.47,45.7,348.44
XGBoost,0.2,68.33,71.05,77.14,73.97,33.72,324.21000000000004
GBM,0.2,66.67,70.27,74.29,72.22,30.64,314.09000000000003
MLP,0.2,63.33,64.44,82.86,72.5,20.0,303.13
KNN,0.2,63.33,66.67,74.29,70.27,22.81,297.37
SVM,0.3,61.11,64.71,66.0,65.35,21.05,278.21999999999997
SVM,0.2,60.0,64.86,68.57,66.67,16.76,276.86
KNN,0.3,60.0,62.96,68.0,65.38,18.18,274.52000000000004
RF,0.2,60.0,66.67,62.86,64.71,18.64,272.88
MLP,0.3,62.22,73.53,50.0,59.52,26.44,271.71000000000004
XGBoost,0.3,58.89,61.82,68.0,64.76,15.7,269.17
GBM,0.3,58.89,61.82,68.0,64.76,15.7,269.17
RF,0.3,56.67,61.7,58.0,59.79,12.9,249.06
