test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,76.67,85.71,70.59,77.42,53.74
0.1,200,76.67,85.71,70.59,77.42,53.74
0.1,300,76.67,85.71,70.59,77.42,53.74
0.1,400,76.67,85.71,70.59,77.42,53.74
0.1,500,76.67,85.71,70.59,77.42,53.74
0.1,600,76.67,85.71,70.59,77.42,53.74
0.1,700,76.67,85.71,70.59,77.42,53.74
0.1,800,76.67,85.71,70.59,77.42,53.74
0.1,900,76.67,85.71,70.59,77.42,53.74
0.1,1000,76.67,85.71,70.59,77.42,53.74
0.2,100,60.0,66.67,62.86,64.71,18.64
0.2,200,60.0,65.71,65.71,65.71,17.71
0.2,300,60.0,65.71,65.71,65.71,17.71
0.2,400,58.33,63.89,65.71,64.79,13.79
0.2,500,58.33,63.89,65.71,64.79,13.79
0.2,600,60.0,64.86,68.57,66.67,16.76
0.2,700,63.33,68.57,68.57,68.57,24.57
0.2,800,61.67,66.67,68.57,67.61,20.69
0.2,900,61.67,66.67,68.57,67.61,20.69
0.2,1000,61.67,67.65,65.71,66.67,21.59
0.3,100,56.67,61.7,58.0,59.79,12.9
0.3,200,55.56,60.42,58.0,59.18,10.45
0.3,300,55.56,60.42,58.0,59.18,10.45
0.3,400,56.67,61.22,60.0,60.61,12.47
0.3,500,57.78,62.5,60.0,61.22,14.93
0.3,600,56.67,61.7,58.0,59.79,12.9
0.3,700,56.67,61.7,58.0,59.79,12.9
0.3,800,57.78,62.5,60.0,61.22,14.93
0.3,900,57.78,62.5,60.0,61.22,14.93
0.3,1000,57.78,62.5,60.0,61.22,14.93
