test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,98.97,98.51,100.0,99.25,97.61
0.1,200,98.97,98.51,100.0,99.25,97.61
0.1,300,98.97,98.51,100.0,99.25,97.61
0.1,400,98.97,98.51,100.0,99.25,97.61
0.1,500,98.97,98.51,100.0,99.25,97.61
0.1,600,98.97,98.51,100.0,99.25,97.61
0.1,700,98.97,98.51,100.0,99.25,97.61
0.1,800,98.97,98.51,100.0,99.25,97.61
0.1,900,98.97,98.51,100.0,99.25,97.61
0.1,1000,98.97,98.51,100.0,99.25,97.61
0.2,100,97.94,96.92,100.0,98.44,95.41
0.2,200,98.45,97.67,100.0,98.82,96.57
0.2,300,98.45,97.67,100.0,98.82,96.57
0.2,400,98.97,98.44,100.0,99.21,97.72
0.2,500,98.97,98.44,100.0,99.21,97.72
0.2,600,98.97,98.44,100.0,99.21,97.72
0.2,700,98.97,98.44,100.0,99.21,97.72
0.2,800,98.97,98.44,100.0,99.21,97.72
0.2,900,98.97,98.44,100.0,99.21,97.72
0.2,1000,98.97,98.44,100.0,99.21,97.72
0.3,100,91.41,95.88,90.06,92.88,82.08
0.3,200,91.41,94.32,91.71,93.0,81.89
0.3,300,91.41,94.32,91.71,93.0,81.89
0.3,400,91.41,94.32,91.71,93.0,81.89
0.3,500,91.41,94.83,91.16,92.96,81.96
0.3,600,91.75,94.86,91.71,93.26,82.65
0.3,700,91.41,94.32,91.71,93.0,81.89
0.3,800,91.75,94.86,91.71,93.26,82.65
0.3,900,91.75,94.86,91.71,93.26,82.65
0.3,1000,91.75,94.86,91.71,93.26,82.65
