Modelo,Versão,Accuracy,Precision,Recall,F1,Kappa,Total
MLP,0.3,70.1,69.44,87.72,77.52,34.66,339.43999999999994
SVM,0.2,67.69,60.78,96.88,74.7,35.95,336.0
MLP,0.1,69.7,69.57,84.21,76.19,35.55,335.21999999999997
RF,0.2,69.23,65.79,78.12,71.43,38.62,323.19000000000005
XGBoost,0.3,67.01,69.23,78.95,73.77,29.84,318.79999999999995
SVM,0.3,65.98,67.65,80.7,73.6,26.8,314.72999999999996
KNN,0.3,65.98,67.65,80.7,73.6,26.8,314.72999999999996
RF,0.3,65.98,69.35,75.44,72.27,28.47,311.51
GBM,0.3,65.98,69.35,75.44,72.27,28.47,311.51
SVM,0.1,63.64,64.0,84.21,72.73,21.12,305.7
MLP,0.2,64.62,60.98,78.12,68.49,29.51,301.71999999999997
RF,0.1,63.64,68.42,68.42,68.42,25.56,294.46000000000004
XGBoost,0.1,63.64,70.59,63.16,66.67,26.94,291.0
GBM,0.1,63.64,70.59,63.16,66.67,26.94,291.0
GBM,0.2,63.08,60.53,71.88,65.71,26.35,287.55
KNN,0.1,60.61,65.0,68.42,66.67,18.6,279.3
KNN,0.2,58.46,55.56,78.12,64.94,17.41,274.49000000000007
XGBoost,0.2,60.0,57.5,71.88,63.89,20.28,273.54999999999995
