Modelo,Versão,Accuracy,Precision,Recall,F1,Kappa,Total
SVM,0.3,76.54,83.33,78.43,80.81,50.72,369.83000000000004
SVM,0.2,75.93,81.25,78.79,80.0,49.79,365.76000000000005
RF,0.2,72.22,80.0,72.73,76.19,43.04,344.18
MLP,0.3,71.6,80.43,72.55,76.29,41.14,342.01
RF,0.3,71.6,83.33,68.63,75.27,42.66,341.49
MLP,0.2,70.37,72.97,81.82,77.14,35.43,337.73
XGBoost,0.3,67.9,80.49,64.71,71.74,35.6,320.44
SVM,0.1,66.67,68.42,81.25,74.29,27.89,318.52
MLP,0.1,66.67,70.59,75.0,72.73,29.97,314.96000000000004
RF,0.1,66.67,73.33,68.75,70.97,31.93,311.65000000000003
GBM,0.2,66.67,77.78,63.64,70.0,33.33,311.41999999999996
KNN,0.3,65.43,76.74,64.71,70.21,29.74,306.83
GBM,0.3,65.43,78.05,62.75,69.57,30.64,306.44
KNN,0.2,64.81,73.33,66.67,69.84,27.85,302.5
XGBoost,0.2,64.81,76.92,60.61,67.8,30.2,300.34000000000003
GBM,0.1,62.96,71.43,62.5,66.67,25.41,288.97
KNN,0.1,59.26,63.16,75.0,68.57,11.87,277.86
XGBoost,0.1,55.56,64.29,56.25,60.0,10.5,246.60000000000002
