Modelo,Versão,Accuracy,Precision,Recall,F1,Kappa,Total
XGBoost,0.1,100.0,100.0,100.0,100.0,100.0,500.0
XGBoost,0.2,100.0,100.0,100.0,100.0,100.0,500.0
RF,0.1,98.97,98.51,100.0,99.25,97.61,494.34000000000003
RF,0.2,97.94,96.92,100.0,98.44,95.41,488.71000000000004
GBM,0.2,94.85,95.31,96.83,96.06,88.6,471.65
XGBoost,0.3,92.78,98.19,90.06,93.95,85.05,460.03
GBM,0.1,91.75,89.19,100.0,94.29,79.64,454.87
RF,0.3,91.41,95.88,90.06,92.88,82.08,452.31
GBM,0.3,89.0,94.61,87.29,90.8,77.18,438.88000000000005
KNN,0.1,75.26,85.0,77.27,80.95,45.89,364.36999999999995
KNN,0.3,73.2,83.66,70.72,76.65,45.71,349.94
MLP,0.2,72.68,77.86,80.95,79.38,38.96,349.83
KNN,0.2,72.68,82.88,73.02,77.64,42.9,349.11999999999995
SVM,0.3,71.13,77.09,76.24,76.67,38.83,339.96
SVM,0.2,70.1,75.76,79.37,77.52,32.98,335.73
SVM,0.1,70.1,76.81,80.3,78.52,29.45,335.17999999999995
MLP,0.3,68.04,77.16,69.06,72.89,34.26,321.40999999999997
MLP,0.1,58.76,100.0,39.39,56.52,29.35,284.02
