Modelo,Versão,Accuracy,Precision,Recall,F1,Kappa,Total
XGBoost,0.1,98.28,100.0,97.14,98.55,96.42,490.39000000000004
XGBoost,0.2,94.83,95.35,95.35,95.35,89.52,470.4
XGBoost,0.3,94.25,95.79,93.81,94.79,88.38,467.02000000000004
GBM,0.1,93.1,95.59,92.86,94.2,85.7,461.45
KNN,0.1,92.24,95.52,91.43,93.43,83.97,456.59000000000003
GBM,0.2,87.93,86.86,92.25,89.47,75.36,431.87
GBM,0.3,87.07,86.34,91.24,88.72,73.6,426.97
KNN,0.2,85.34,86.82,86.82,86.82,70.32,416.12
KNN,0.3,83.91,83.17,89.18,86.07,67.08,409.40999999999997
SVM,0.1,76.72,78.67,84.29,81.38,50.44,371.5
SVM,0.2,74.14,71.7,88.37,79.17,46.03,359.40999999999997
MLP,0.3,72.13,68.58,92.27,78.68,40.85,352.51
MLP,0.1,70.69,68.0,97.14,80.0,31.05,346.88
SVM,0.3,68.39,66.41,87.63,75.56,33.16,331.15
MLP,0.2,70.69,74.8,71.32,73.02,40.98,330.81
