test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,63.64,68.42,68.42,68.42,25.56
0.1,200,66.67,72.22,68.42,70.27,32.4
0.1,300,66.67,72.22,68.42,70.27,32.4
0.1,400,69.7,76.47,68.42,72.22,39.11
0.1,500,69.7,76.47,68.42,72.22,39.11
0.1,600,72.73,81.25,68.42,74.29,45.7
0.1,700,72.73,81.25,68.42,74.29,45.7
0.1,800,72.73,81.25,68.42,74.29,45.7
0.1,900,69.7,76.47,68.42,72.22,39.11
0.1,1000,72.73,81.25,68.42,74.29,45.7
0.2,100,69.23,65.79,78.12,71.43,38.62
0.2,200,67.69,64.86,75.0,69.57,35.52
0.2,300,67.69,64.86,75.0,69.57,35.52
0.2,400,66.15,63.16,75.0,68.57,32.48
0.2,500,63.08,60.0,75.0,66.67,26.42
0.2,600,64.62,61.54,75.0,67.61,29.45
0.2,700,66.15,63.16,75.0,68.57,32.48
0.2,800,63.08,60.0,75.0,66.67,26.42
0.2,900,64.62,61.54,75.0,67.61,29.45
0.2,1000,64.62,61.54,75.0,67.61,29.45
0.3,100,65.98,69.35,75.44,72.27,28.47
0.3,200,63.92,67.74,73.68,70.59,24.13
0.3,300,63.92,67.74,73.68,70.59,24.13
0.3,400,64.95,68.25,75.44,71.67,26.02
0.3,500,63.92,67.19,75.44,71.07,23.55
0.3,600,62.89,66.67,73.68,70.0,21.67
0.3,700,62.89,66.67,73.68,70.0,21.67
0.3,800,62.89,66.67,73.68,70.0,21.67
0.3,900,62.89,66.67,73.68,70.0,21.67
0.3,1000,62.89,66.67,73.68,70.0,21.67
