test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,67.74,65.22,88.24,75.0,32.31
0.1,200,67.74,65.22,88.24,75.0,32.31
0.1,300,67.74,65.22,88.24,75.0,32.31
0.1,400,67.74,65.22,88.24,75.0,32.31
0.1,500,67.74,65.22,88.24,75.0,32.31
0.1,600,67.74,65.22,88.24,75.0,32.31
0.1,700,67.74,65.22,88.24,75.0,32.31
0.1,800,67.74,65.22,88.24,75.0,32.31
0.1,900,67.74,65.22,88.24,75.0,32.31
0.1,1000,67.74,65.22,88.24,75.0,32.31
0.2,100,64.52,63.04,85.29,72.5,25.55
0.2,200,64.52,63.04,85.29,72.5,25.55
0.2,300,64.52,63.04,85.29,72.5,25.55
0.2,400,64.52,63.04,85.29,72.5,25.55
0.2,500,64.52,63.04,85.29,72.5,25.55
0.2,600,64.52,63.04,85.29,72.5,25.55
0.2,700,64.52,63.04,85.29,72.5,25.55
0.2,800,64.52,63.04,85.29,72.5,25.55
0.2,900,64.52,63.04,85.29,72.5,25.55
0.2,1000,64.52,63.04,85.29,72.5,25.55
0.3,100,65.59,65.62,80.77,72.41,27.98
0.3,200,65.59,65.62,80.77,72.41,27.98
0.3,300,66.67,66.15,82.69,73.5,30.04
0.3,400,65.59,65.62,80.77,72.41,27.98
0.3,500,65.59,65.62,80.77,72.41,27.98
0.3,600,66.67,66.15,82.69,73.5,30.04
0.3,700,66.67,66.15,82.69,73.5,30.04
0.3,800,66.67,66.15,82.69,73.5,30.04
0.3,900,66.67,66.15,82.69,73.5,30.04
0.3,1000,66.67,66.15,82.69,73.5,30.04
