                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0512,                 6.8933,                 3.3138,                 4.1825,                0.00327,                0.96364,                0.02382,                 0.0105,                0.00154,                0.45455,                0.00684,                0.00191,                 2.6714,                  5.187,                 3.5844,                 4.0997,             0.00064815,             0.00064815,             0.00064815
                      2,                 2.9262,                 4.0531,                 3.0874,                 3.8856,                0.02443,                0.83636,                0.07591,                0.01236,                0.01699,                0.58182,                   0.02,                0.00424,                 3.2541,                 3.9135,                 69.184,                 9.1288,              0.0012888,              0.0012888,              0.0012888
                      3,                 2.8624,                  3.171,                 2.9485,                 3.5706,                0.05105,                0.83636,                0.07201,                0.02369,                 0.0455,                0.74545,                0.06442,                0.02234,                 2.6484,                 3.2038,                 144.71,                 6.3074,               0.001903,               0.001903,               0.001903
                      4,                 2.7191,                 2.9539,                 2.8758,                 3.3696,                 0.0593,                0.30909,                0.17835,                0.05668,                0.09417,                0.49091,                0.20561,                  0.081,                 2.9841,                 2.9511,                 34.791,                 4.4703,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.5973,                 2.9298,                 2.8373,                 3.2083,                0.03669,                0.10909,                0.01659,                0.00357,                0.13876,                0.21818,                0.08409,                0.01349,                 2.7424,                 9.2495,                 3.8572,                 4.2986,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.4314,                 2.8097,                  2.709,                 3.0483,                0.09628,                0.18182,                0.05997,                0.02016,                0.15476,                0.14545,                0.04247,                0.01357,                 2.3519,                 4.6708,                 3.1282,                 3.7453,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.2972,                  2.644,                 2.5709,                 2.8992,                0.05829,                0.07273,                0.03925,                0.01502,                0.07414,                0.05455,                0.01817,                0.00588,                 2.2022,                 4.2471,                 3.1221,                 3.6768,               0.001802,               0.001802,               0.001802
                      8,                 2.1708,                 2.6158,                 2.4265,                 2.7646,                0.41452,                0.36364,                0.39265,                0.24388,                0.54787,                0.32727,                0.36909,                 0.1958,                 1.9815,                 2.6426,                 2.2069,                 2.8873,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.9916,                 2.7287,                  2.227,                 2.6485,                 0.3715,                0.74545,                0.42226,                0.16641,                0.32043,                    0.6,                0.31552,                0.12932,                 1.8416,                 2.5103,                 1.8423,                 2.8305,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.8597,                 2.6178,                 2.0387,                 2.5088,                0.47554,                0.34545,                0.40025,                0.18253,                0.47554,                0.34545,                0.40715,                0.20663,                 1.7221,                 2.0244,                 3.1673,                 2.6811,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.7029,                 2.5914,                 1.8977,                 2.3512,                0.71586,                0.65455,                0.71232,                0.39304,                0.70591,                0.65455,                0.67087,                0.34168,                 1.4868,                 2.0357,                 1.6591,                 2.4219,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.5993,                 2.5522,                 1.7118,                 2.2161,                0.58929,                0.74545,                0.67852,                0.36205,                0.61905,                0.78182,                0.72411,                0.34691,                 1.7074,                 2.2103,                 2.0228,                 2.5318,               0.001604,               0.001604,               0.001604
                     13,                 1.5125,                 2.4488,                 1.6301,                 2.1159,                0.61534,                0.85455,                0.77705,                0.48459,                0.78995,                0.61546,                0.73077,                0.40241,                 1.3842,                 2.1777,                 1.4313,                 2.2283,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.433,                 2.5352,                 1.4991,                  2.045,                0.72277,                0.56364,                0.70985,                0.45829,                0.85351,                0.56364,                0.71958,                0.39563,                 1.3236,                 2.2891,                 1.4949,                 2.1131,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3638,                 2.4935,                 1.4343,                 1.9558,                0.82968,                0.79717,                0.83657,                0.56544,                0.45766,                0.50909,                0.39712,                0.17505,                 1.2754,                 3.9907,                 1.5868,                 2.0595,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3094,                 2.4835,                 1.3557,                 1.8963,                0.71172,                0.78182,                0.76466,                0.47484,                0.71477,                    0.8,                 0.7931,                0.44052,                 1.2607,                 1.9859,                 1.4403,                  2.074,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2844,                 2.4437,                 1.3082,                 1.8384,                0.80278,                0.85455,                0.87926,                0.56087,                0.85706,                0.85455,                 0.8998,                0.48704,                 1.2275,                 2.1468,                 1.2207,                 1.9868,               0.001406,               0.001406,               0.001406
                     18,                 1.2285,                 2.4127,                 1.2992,                 1.8314,                0.68398,                0.74545,                0.70679,                0.45202,                0.71303,                0.81818,                0.77887,                0.42832,                 1.1428,                 2.0729,                 1.4483,                 1.9192,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2123,                 2.3617,                 1.2654,                 1.7851,                0.77929,                    0.8,                0.85505,                0.58673,                0.75962,                0.80443,                0.82896,                0.47436,                 1.1222,                  2.126,                 1.1075,                 1.9136,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1415,                  2.409,                 1.2206,                 1.7388,                0.86641,                0.81818,                0.90378,                0.69402,                0.84716,                    0.8,                0.87447,                0.52078,                 1.0007,                 2.0571,                0.96252,                 1.7683,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1197,                 2.2824,                 1.1511,                 1.7128,                0.81635,                0.83636,                0.88862,                0.64965,                0.79785,                0.81818,                0.88203,                0.52581,                 1.0509,                 2.0209,                 1.0366,                 1.8219,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.102,                 2.3008,                 1.1284,                 1.6866,                 0.8825,                 0.8194,                0.92904,                0.71412,                 0.8825,                 0.8194,                 0.9281,                0.60329,                0.96223,                 1.8198,                0.90428,                 1.7099,               0.001208,               0.001208,               0.001208
                     23,                 1.0726,                 2.2666,                  1.105,                 1.6491,                0.84029,                0.81818,                0.90584,                0.72491,                0.81965,                    0.8,                 0.8794,                 0.5655,                0.90903,                 1.8737,                0.85994,                  1.654,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0538,                 2.2895,                 1.0696,                 1.6269,                0.79704,                0.85684,                0.86644,                0.59915,                0.78012,                0.83866,                 0.8348,                0.52581,                 1.0039,                  1.977,                 1.0742,                 1.7735,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.0275,                 2.2564,                 1.0892,                 1.6174,                0.92482,                0.87273,                0.92101,                0.69517,                0.90407,                0.85455,                0.88851,                0.54561,                0.87461,                 1.9754,                0.92285,                 1.6717,              0.0010892,              0.0010892,              0.0010892
                     26,                0.98749,                 2.1514,                 1.0054,                 1.5499,                0.82706,                0.95651,                0.94023,                0.71268,                0.82706,                0.95651,                0.93955,                0.57106,                0.91133,                 1.9197,                0.88164,                 1.6179,              0.0010496,              0.0010496,              0.0010496
                     27,                 0.9913,                 2.1572,                 1.0207,                  1.578,                 0.9337,                0.83636,                0.93609,                0.74233,                0.88312,                0.82432,                0.90922,                0.55412,                0.88716,                 1.9677,                 0.8344,                 1.6368,                0.00101,                0.00101,                0.00101
                     28,                 0.9492,                 2.1918,                0.96805,                 1.5336,                0.79375,                0.90909,                0.89423,                0.71279,                0.77887,                0.89091,                0.87701,                0.57364,                0.81488,                 1.8325,                0.88468,                 1.5651,              0.0009704,              0.0009704,              0.0009704
                     29,                0.92933,                 2.2403,                0.94044,                  1.517,                0.88533,                0.94545,                0.93597,                0.75855,                0.86761,                0.92727,                0.91359,                0.58669,                0.80452,                 2.0343,                0.84168,                 1.5256,              0.0009308,              0.0009308,              0.0009308
                     30,                0.92642,                 2.1467,                0.93949,                 1.5148,                0.91421,                0.81818,                0.92544,                0.73972,                0.90277,                0.84413,                0.92332,                0.60098,                0.78277,                 1.8838,                0.86356,                 1.5201,              0.0008912,              0.0008912,              0.0008912
                     31,                0.94059,                  2.145,                0.96362,                 1.5255,                0.89313,                0.92727,                0.94808,                0.75606,                0.89313,                0.92727,                0.94367,                0.62658,                0.78453,                 1.8086,                0.76446,                 1.4768,              0.0008516,              0.0008516,              0.0008516
                     32,                0.94037,                 2.1458,                0.93613,                 1.5239,                0.88986,                0.87273,                0.93192,                0.73406,                0.91178,                0.87273,                0.92749,                0.54077,                 0.8058,                 2.4372,                0.94151,                 1.5138,               0.000812,               0.000812,               0.000812
                     33,                0.92447,                 2.1461,                0.94327,                 1.5155,                0.87329,                0.87724,                0.94621,                0.78036,                0.87329,                0.87724,                0.93934,                0.62391,                0.78012,                 1.8787,                0.76195,                 1.5016,              0.0007724,              0.0007724,              0.0007724
                     34,                0.86592,                 2.1106,                0.89689,                 1.4598,                0.88465,                0.94545,                0.94433,                 0.7847,                0.88465,                0.94545,                0.94256,                 0.6287,                0.73988,                 1.7595,                0.79854,                 1.4592,              0.0007328,              0.0007328,              0.0007328
                     35,                0.87142,                 2.1453,                0.87705,                 1.4634,                0.90894,                0.90909,                0.95146,                0.79785,                0.88996,                0.89091,                 0.9353,                0.59508,                0.74058,                 2.1262,                0.70287,                  1.486,              0.0006932,              0.0006932,              0.0006932
                     36,                0.86411,                 2.0437,                0.88285,                 1.4581,                0.87091,                0.92727,                 0.9377,                0.77868,                0.87091,                0.92727,                 0.9377,                0.65036,                0.71156,                 1.8381,                0.76677,                 1.4412,              0.0006536,              0.0006536,              0.0006536
                     37,                0.85098,                 2.1437,                0.87895,                 1.4372,                0.89431,                0.92313,                0.94824,                0.79619,                0.89431,                0.92313,                0.94798,                0.60247,                0.72093,                 2.2417,                0.70548,                 1.4161,               0.000614,               0.000614,               0.000614
                     38,                0.84193,                 2.0587,                0.86642,                 1.4353,                0.90048,                0.89091,                  0.932,                0.77895,                0.90865,                0.89091,                0.92518,                0.64885,                0.68757,                 1.7926,                0.82839,                  1.381,              0.0005744,              0.0005744,              0.0005744
                     39,                  0.814,                 2.1468,                0.81378,                 1.4053,                 0.9272,                0.96364,                0.95637,                0.79645,                0.90942,                0.94545,                0.94058,                0.63458,                0.67652,                 2.0943,                0.74439,                 1.3783,              0.0005348,              0.0005348,              0.0005348
                     40,                0.80886,                 2.0907,                0.83024,                 1.4158,                0.97814,                0.90909,                0.96457,                0.80988,                0.95825,                0.89091,                0.94872,                0.63468,                  0.658,                 1.7384,                0.67554,                 1.3619,              0.0004952,              0.0004952,              0.0004952
                     41,                0.71836,                 2.1003,                0.93952,                  1.467,                0.92306,                0.87253,                0.94072,                0.79357,                0.90238,                0.85455,                0.91192,                0.60698,                0.70814,                 1.7782,                0.78402,                  1.416,              0.0004556,              0.0004556,              0.0004556
                     42,                0.67696,                 2.0505,                0.80303,                 1.4424,                0.91312,                0.94545,                0.97076,                0.77007,                 0.8948,                 0.9279,                0.95712,                0.62867,                0.71549,                 2.0557,                0.73831,                 1.3943,               0.000416,               0.000416,               0.000416
